"filename", "language", "JavaScript", "PHP", "CSS", "HTML", "JSON", "SQL", "XML", "comment", "blank", "total"
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\schedule-admin.html", "HTML", 0, 0, 0, 59, 0, 0, 0, 0, 3, 62
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\statistics-admin.html", "HTML", 0, 0, 0, 35, 0, 0, 0, 1, 8, 44
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\check_lesson.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 3, 5, 24
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\config.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 3, 5, 37
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\create_lesson.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\get_lesson.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 9, 7, 43
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\get_user_details.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 15, 11, 80
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\lessons.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 16, 20, 109
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\report.xml", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\signin.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 8, 9, 51
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\signup.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 7, 10, 43
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\slot.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 7, 5, 31
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\statistics.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 16, 13, 92
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\php\working_slots.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 12, 10, 55
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\account\account.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 10, 10, 46
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\account\signin.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 4, 25
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\account\signup.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 13, 11, 96
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\admin_schedule.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 25, 25, 191
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\admin_statistics.js", "JavaScript", 143, 0, 0, 0, 0, 0, 0, 38, 42, 223
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\book_lesson\choose_date.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 27, 25, 153
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\book_lesson\choose_hours.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\book_lesson\pay.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 53, 9, 84
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\homepage.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 8, 6, 31
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\main_script.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 20, 18, 122
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\scripts\table.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 30, 29, 187
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\sql-code.sql", "SQL", 0, 0, 0, 0, 0, 51, 0, 9, 16, 76
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\student-reviews.html", "HTML", 0, 0, 0, 40, 0, 0, 0, 0, 10, 50
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\student_reviews.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\student_reviews.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\student_reviews.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 1, 10, 40
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\stuff.html", "HTML", 0, 0, 0, 54, 0, 0, 0, 0, 5, 59
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\table.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 2, 18, 77
"Total", "-", 780, 475, 458, 756, 6, 51, 2, 360, 584, 3472
